epoch,step,train/f1,train/loss_epoch,train/loss_step,train/precision,train/recall,val/f1,val/loss_epoch,val/loss_step,val/precision,val/recall
0,2,,,1.9455218315124512,,,,,,,
0,5,,,1.2499910593032837,,,,,,,
0,8,,,1.0016133785247803,,,,,,,
,0,,,,,,,,0.8798770904541016,,
,1,,,,,,,,0.8829595446586609,,
0,8,,,,,,0.08949924260377884,0.8811964392662048,,0.08099427819252014,0.09999999403953552
0,8,0.07891202718019485,1.654000163078308,,0.10403755307197571,0.10140451043844223,,,,,
1,11,,,0.9482470154762268,,,,,,,
1,14,,,0.9434276819229126,,,,,,,
1,17,,,0.9144973754882812,,,,,,,
,2,,,,,,,,0.8900256156921387,,
,3,,,,,,,,0.8949927091598511,,
1,17,,,,,,0.08949924260377884,0.8921515345573425,,0.08099427819252014,0.09999999403953552
1,17,0.08960675448179245,0.9408853054046631,,0.10687177628278732,0.10004419088363647,,,,,
2,20,,,0.9164542555809021,,,,,,,
2,23,,,0.8721235990524292,,,,,,,
2,26,,,0.8261194825172424,,,,,,,
,4,,,,,,,,0.784864604473114,,
,5,,,,,,,,0.7870417237281799,,
2,26,,,,,,0.08949924260377884,0.7857964634895325,,0.08099427819252014,0.09999999403953552
2,26,0.08965597301721573,0.8953524231910706,,0.10058307647705078,0.10003206878900528,,,,,
3,29,,,0.8299795389175415,,,,,,,
3,32,,,0.8188127875328064,,,,,,,
3,35,,,0.8026999831199646,,,,,,,
,6,,,,,,,,0.7488743662834167,,
,7,,,,,,,,0.7497158646583557,,
3,35,,,,,,0.08949924260377884,0.7492345571517944,,0.08099427819252014,0.09999999403953552
3,35,0.0926022082567215,0.8337345719337463,,0.1787034124135971,0.10114952176809311,,,,,
4,38,,,0.7863825559616089,,,,,,,
4,41,,,0.788668155670166,,,,,,,
4,44,,,0.7944697737693787,,,,,,,
,8,,,,,,,,0.7155454754829407,,
,9,,,,,,,,0.7161310315132141,,
4,44,,,,,,0.08949924260377884,0.7157961130142212,,0.08099427819252014,0.09999999403953552
4,44,0.09260197728872299,0.7947084307670593,,0.19410860538482666,0.10138243436813354,,,,,
5,47,,,0.7587551474571228,,,,,,,
5,50,,,0.7582206130027771,,,,,,,
5,53,,,0.7375212907791138,,,,,,,
,10,,,,,,,,0.6802919507026672,,
,11,,,,,,,,0.6798085570335388,,
5,53,,,,,,0.09567175060510635,0.6800850033760071,,0.1786465346813202,0.10311160236597061
5,53,0.10073994100093842,0.761086106300354,,0.19781728088855743,0.10571649670600891,,,,,
6,56,,,0.737341046333313,,,,,,,
6,59,,,0.7120510339736938,,,,,,,
6,62,,,0.7058630585670471,,,,,,,
,12,,,,,,,,0.6405583620071411,,
,13,,,,,,,,0.6396389007568359,,
6,62,,,,,,0.18518242239952087,0.6401647925376892,,0.18124982714653015,0.18990598618984222
6,62,0.1216052770614624,0.7265124320983887,,0.20295600593090057,0.11833146214485168,,,,,
7,65,,,0.6959148645401001,,,,,,,
7,68,,,0.6743811368942261,,,,,,,
7,71,,,0.6699723601341248,,,,,,,
,14,,,,,,,,0.6038740873336792,,
,15,,,,,,,,0.6022336483001709,,
7,71,,,,,,0.18560415506362915,0.6031719446182251,,0.175166517496109,0.1973755955696106
7,71,0.1523675173521042,0.6905938982963562,,0.20972520112991333,0.14372959733009338,,,,,
8,74,,,0.6575685739517212,,,,,,,
8,77,,,0.6443638801574707,,,,,,,
8,80,,,0.6433728337287903,,,,,,,
,16,,,,,,,,0.5690731406211853,,
,17,,,,,,,,0.5668472051620483,,
8,80,,,,,,0.19200462102890015,0.5681204199790955,,0.2161550223827362,0.2013322114944458
8,80,0.17775270342826843,0.6536214351654053,,0.21725888550281525,0.17363634705543518,,,,,
9,83,,,0.6284691095352173,,,,,,,
9,86,,,0.6117913126945496,,,,,,,
9,89,,,0.6103792786598206,,,,,,,
,18,,,,,,,,0.5372717380523682,,
,19,,,,,,,,0.534525990486145,,
9,89,,,,,,0.2129807025194168,0.5360965132713318,,0.2224012166261673,0.21717879176139832
9,89,0.19176456332206726,0.6177164316177368,,0.23619824647903442,0.1934865415096283,,,,,
10,92,,,0.5928649306297302,,,,,,,
10,95,,,0.5789218544960022,,,,,,,
10,98,,,0.5702022314071655,,,,,,,
,20,,,,,,,,0.5124946236610413,,
,21,,,,,,,,0.5092610120773315,,
10,98,,,,,,0.22772112488746643,0.5111106038093567,,0.22157394886016846,0.23674723505973816
10,98,0.19887062907218933,0.5850700736045837,,0.24256587028503418,0.20319516956806183,,,,,
11,101,,,0.5612848401069641,,,,,,,
11,104,,,0.5488481521606445,,,,,,,
11,107,,,0.5428818464279175,,,,,,,
,22,,,,,,,,0.4922674596309662,,
,23,,,,,,,,0.48865124583244324,,
11,107,,,,,,0.23294363915920258,0.49071964621543884,,0.21993105113506317,0.24856537580490112
11,107,0.20367315411567688,0.5557568669319153,,0.24028129875659943,0.20865000784397125,,,,,
12,110,,,0.5328209400177002,,,,,,,
12,113,,,0.5286701917648315,,,,,,,
12,116,,,0.5237371325492859,,,,,,,
,24,,,,,,,,0.47846829891204834,,
,25,,,,,,,,0.4744694232940674,,
12,116,,,,,,0.23523777723312378,0.4767567217350006,,0.21848969161510468,0.2568455636501312
12,116,0.2069348394870758,0.5324966311454773,,0.2354918271303177,0.2117738425731659,,,,,
13,119,,,0.5155462026596069,,,,,,,
13,122,,,0.5096158981323242,,,,,,,
13,125,,,0.49320876598358154,,,,,,,
