epoch,step,train/f1,train/loss_epoch,train/loss_step,train/precision,train/recall,val/f1,val/loss_epoch,val/loss_step,val/precision,val/recall
0,2,,,1.583945870399475,,,,,,,
0,5,,,1.0656217336654663,,,,,,,
0,8,,,0.9427769780158997,,,,,,,
,0,,,,,,,,0.8712257742881775,,
,1,,,,,,,,0.896946907043457,,
0,8,,,,,,0.08950749039649963,0.8822347521781921,,0.08100823312997818,0.09999999403953552
0,8,0.08750554174184799,1.3904781341552734,,0.09953583776950836,0.10021232813596725,,,,,
1,11,,,0.9273151159286499,,,,,,,
1,14,,,0.9313801527023315,,,,,,,
1,17,,,0.8956050872802734,,,,,,,
,2,,,,,,,,0.8340469598770142,,
,3,,,,,,,,0.8580326437950134,,
1,17,,,,,,0.08950749039649963,0.8443131446838379,,0.08100823312997818,0.09999999403953552
1,17,0.08952260762453079,0.9288798570632935,,0.09123419225215912,0.10000179708003998,,,,,
2,20,,,0.861291766166687,,,,,,,
2,23,,,0.8330032229423523,,,,,,,
2,26,,,0.8218985795974731,,,,,,,
,4,,,,,,,,0.7567281126976013,,
,5,,,,,,,,0.771140456199646,,
2,26,,,,,,0.08950749039649963,0.762896716594696,,0.08100823312997818,0.09999999403953552
2,26,0.09027581661939621,0.8549486994743347,,0.11464376747608185,0.10024497658014297,,,,,
3,29,,,0.8224632143974304,,,,,,,
3,32,,,0.8063890933990479,,,,,,,
3,35,,,0.7595127820968628,,,,,,,
,6,,,,,,,,0.7140377759933472,,
,7,,,,,,,,0.7284018993377686,,
3,35,,,,,,0.08950749039649963,0.7201858162879944,,0.08100823312997818,0.09999999403953552
3,35,0.09392096847295761,0.8067364692687988,,0.18399964272975922,0.10185497999191284,,,,,
4,38,,,0.7659655809402466,,,,,,,
4,41,,,0.760772168636322,,,,,,,
4,44,,,0.749961256980896,,,,,,,
,8,,,,,,,,0.678562343120575,,
,9,,,,,,,,0.6912908554077148,,
4,44,,,,,,0.08950749039649963,0.6840103268623352,,0.08100823312997818,0.09999999403953552
4,44,0.097530797123909,0.7651639580726624,,0.19835622608661652,0.1040215715765953,,,,,
5,47,,,0.7379528284072876,,,,,,,
5,50,,,0.7195962071418762,,,,,,,
5,53,,,0.6881676912307739,,,,,,,
,10,,,,,,,,0.6423085331916809,,
,11,,,,,,,,0.6531149744987488,,
5,53,,,,,,0.18490910530090332,0.6469338536262512,,0.18051180243492126,0.1900634467601776
5,53,0.12485940754413605,0.7264425754547119,,0.20625706017017365,0.12078709900379181,,,,,
6,56,,,0.6944000720977783,,,,,,,
6,59,,,0.6825271844863892,,,,,,,
6,62,,,0.6440206170082092,,,,,,,
,12,,,,,,,,0.6011526584625244,,
,13,,,,,,,,0.6110104918479919,,
6,62,,,,,,0.18611326813697815,0.6053719520568848,,0.21779388189315796,0.19699861109256744
6,62,0.15202948451042175,0.689374566078186,,0.20908337831497192,0.14366360008716583,,,,,
7,65,,,0.6633281111717224,,,,,,,
7,68,,,0.6475550532341003,,,,,,,
7,71,,,0.6423113346099854,,,,,,,
,14,,,,,,,,0.568766176700592,,
,15,,,,,,,,0.5775105357170105,,
7,71,,,,,,0.20142266154289246,0.5725089311599731,,0.22548259794712067,0.20696139335632324
7,71,0.17699533700942993,0.6521238088607788,,0.2134115844964981,0.17315803468227386,,,,,
8,74,,,0.6243519186973572,,,,,,,
8,77,,,0.6165362596511841,,,,,,,
8,80,,,0.5805155038833618,,,,,,,
,16,,,,,,,,0.5379424095153809,,
,17,,,,,,,,0.5458224415779114,,
8,80,,,,,,0.22429145872592926,0.5413151383399963,,0.2262742668390274,0.22865630686283112
8,80,0.1904224008321762,0.615850031375885,,0.22846627235412598,0.19313985109329224,,,,,
9,83,,,0.5877503752708435,,,,,,,
9,86,,,0.5861602425575256,,,,,,,
9,89,,,0.5630219578742981,,,,,,,
,18,,,,,,,,0.5107400417327881,,
,19,,,,,,,,0.5178515315055847,,
9,89,,,,,,0.2329464852809906,0.5137838125228882,,0.22391994297504425,0.24391914904117584
9,89,0.1972702145576477,0.5829479694366455,,0.24031105637550354,0.20264257490634918,,,,,
10,92,,,0.5603365898132324,,,,,,,
10,95,,,0.5482264161109924,,,,,,,
10,98,,,0.547112226486206,,,,,,,
,20,,,,,,,,0.4941527247428894,,
,21,,,,,,,,0.500397801399231,,
